Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Gradient Boosting,0.8675,0.7886178861788617,0.47665847665847666,0.5941807044410413,0.8621687943721842
Decision Tree,0.7635,0.4525862068965517,0.773955773955774,0.57116953762466,0.8381370584760416
Random Forest,0.771,0.4590690208667737,0.7027027027027027,0.5553398058252427,0.8225390259288564
Logistic Regression,0.726,0.3949329359165425,0.6511056511056511,0.49165120593692024,0.7539866522917369
